name,type,distance,moving_time,average_heartrate,total_elevation_gain,workout_type,start_date_local,mile_pace,week_start,is_warmup_cooldown,pace_percentile,distance_percentile
800m TT ~2:05,Run,0.5029375,2.0833333333333335,,0.0,Race,2025-04-23 22:45:00,4.142330475125306,2025-04-21,False,0.9299363057324841,0.08598726114649681
Afternoon Run,Run,1.6003125,16.166666666666668,146.3,5.0,Easy Run,2025-04-23 16:09:33,10.102193581982686,2025-04-21,False,0.012738853503184714,0.33121019108280253
Afternoon Run,Run,3.9446875,31.516666666666666,148.5,46.7,None,2025-04-22 17:00:20,7.989648525178906,2025-04-21,False,0.16560509554140126,0.5732484076433121
250m shakeouts premeet,Run,0.273625,1.15,109.4,0.0,Easy Run,2025-04-22 16:51:05,4.202832343535861,2025-04-21,False,0.9171974522292994,0.03184713375796178
Afternoon Run,Run,0.38506250000000003,2.75,122.6,0.0,Easy Run,2025-04-22 16:40:37,7.14169777633501,2025-04-21,False,0.7006369426751592,0.044585987261146494
Wu,Run,0.76225,5.416666666666667,145.6,0.0,Warmup/Cooldown,2025-04-22 16:08:47,7.106155023504975,2025-04-21,False,0.7133757961783439,0.1464968152866242
Cd,Run,1.032375,8.1,,0.0,Warmup/Cooldown,2025-04-21 18:02:53,7.845986196876135,2025-04-21,False,0.20382165605095542,0.2229299363057325
400m repeats,Run,2.939625,14.116666666666667,156.0,0.0,Workout,2025-04-21 17:16:57,4.802199827075449,2025-04-21,False,0.8726114649681529,0.4713375796178344
Wu,Run,0.761375,5.8,140.7,0.0,Warmup/Cooldown,2025-04-21 16:39:16,7.617796749302249,2025-04-21,True,,
UW Admitted Student Day,Run,10.210375,74.5,148.1,233.5,Long Run,2025-04-19 17:35:44,7.29649988369673,2025-04-14,False,0.6369426751592356,0.9490445859872612
Afternoon Run,Run,7.092375,52.06666666666667,152.0,175.0,None,2025-04-18 16:58:38,7.341217387217494,2025-04-14,False,0.6050955414012739,0.8726114649681529
Afternoon Run,Run,0.77,6.116666666666666,139.5,0.0,Warmup/Cooldown,2025-04-18 16:24:08,7.943722943722943,2025-04-14,True,,
Cd,Run,1.23325,10.433333333333334,154.6,0.0,Warmup/Cooldown,2025-04-17 19:27:42,8.460031083181297,2025-04-14,False,0.08280254777070063,0.27388535031847133
800m - 2:03.53 massive PR and Kingco Qual?,Run,0.4851875,2.05,159.4,0.0,Race,2025-04-17 17:54:16,4.2251706814375884,2025-04-14,False,0.910828025477707,0.06369426751592357
Afternoon Run,Run,3.0224374999999997,24.283333333333335,158.9,38.7,None,2025-04-16 17:19:44,8.034354170543919,2025-04-14,False,0.1592356687898089,0.5095541401273885
Shakeout workout,Run,0.5364375,2.25,110.0,0.0,Easy Run,2025-04-16 16:59:21,4.194337644180356,2025-04-14,False,0.9235668789808917,0.12101910828025478
Afternoon Run,Run,0.324,2.966666666666667,142.2,0.0,Warmup/Cooldown,2025-04-16 16:48:38,9.156378600823045,2025-04-14,True,,
Wu,Run,0.774875,6.433333333333334,138.4,0.0,Warmup/Cooldown,2025-04-16 16:12:53,8.302414367908803,2025-04-14,True,,
Afternoon Run,Run,2.0138125,15.85,138.1,26.8,Easy Run,2025-04-15 16:38:23,7.870643369231248,2025-04-14,False,0.1910828025477707,0.3503184713375796
Wu,Run,0.778125,6.066666666666666,138.7,0.0,Warmup/Cooldown,2025-04-15 16:10:32,7.796519410977242,2025-04-14,True,,
Cd,Run,0.5169375,5.316666666666666,147.0,0.0,Warmup/Cooldown,2025-04-14 17:54:41,10.284931286019424,2025-04-14,True,,
Igloi 100s,Run,6.0046875,41.21666666666667,171.8,0.0,None,2025-04-14 17:01:05,6.864081880475323,2025-04-14,False,0.7834394904458599,0.7707006369426752
